Team,Opponent,Home/Away,Possession,Fouls,Yellow Cards,Red Cards,Passes,Shots,On Target,Goals,Allowed,Result,Team SPI,Opponent SPI,SPI Difference,Team xG,Opponent xG,Team nsxG,Opponent nsxG,Total Generated,Total Conceded
Newcastle,Bournemouth,Home,72.4,10,2,0,643,20,7,1,1,D,73.17,54.41,18.76,1.54,0.98,2.14,0.47,3.68,1.45
Bournemouth,Newcastle,Away,27.6,11,2,0,245,10,3,1,1,D,54.41,73.17,-18.76,0.98,1.54,0.47,2.14,1.45,3.68
Spurs,Leicester,Home,43.7,9,1,0,482,16,11,6,2,W,81.87,67.43,14.44,2.45,1.78,1.6,1.18,4.05,2.96
Leicester,Spurs,Away,56.3,9,2,0,632,19,7,2,6,L,67.43,81.87,-14.44,1.78,2.45,1.18,1.6,2.96,4.05
Brentford,Arsenal,Home,36.1,10,0,0,321,5,2,0,3,L,69.8,80.58,-10.78,0.56,1.26,0.99,1.62,1.55,2.88
Arsenal,Brentford,Away,63.9,10,2,0,592,13,7,3,0,W,80.58,69.8,10.78,1.26,0.56,1.62,0.99,2.88,1.55
Everton,West Ham,Home,53.6,8,3,0,464,7,2,1,0,W,63.99,70.99,-7,0.37,0.8,0.95,0.94,1.32,1.74
West Ham,Everton,Away,46.4,11,1,0,388,14,4,0,1,L,70.99,63.99,7,0.8,0.37,0.94,0.95,1.74,1.32
Arsenal,Spurs,Home,64.7,10,2,0,565,22,9,3,1,W,81.54,81.7,-0.16,2.27,1.57,2.61,0.59,4.88,2.16
Spurs,Arsenal,Away,35.3,10,1,1,307,7,3,1,3,L,81.7,81.54,0.16,1.57,2.27,0.59,2.61,2.16,4.88
Bournemouth,Brentford,Home,42,11,1,0,375,7,1,0,0,D,54.73,68.79,-14.06,0.76,1.03,0.92,1.41,1.68,2.44
Brentford,Bournemouth,Away,58,10,2,0,530,13,4,0,0,D,68.79,54.73,14.06,1.03,0.76,1.41,0.92,2.44,1.68
Crystal Palace,Chelsea,Home,36,11,1,0,348,7,3,1,2,L,70.22,81.29,-11.07,0.77,1.4,0.48,1.74,1.25,3.14
Chelsea,Crystal Palace,Away,64,13,3,0,635,13,3,2,1,W,81.29,70.22,11.07,1.4,0.77,1.74,0.48,3.14,1.25
Southampton,Everton,Home,54.2,11,2,0,445,22,6,1,2,L,63.89,64.35,-0.46,2.24,2.01,2.19,1.6,4.43,3.61
Everton,Southampton,Away,45.8,10,2,0,380,12,5,2,1,W,64.35,63.89,0.46,2.01,2.24,1.6,2.19,3.61,4.43
Fulham,Newcastle,Home,31.7,9,2,1,281,3,1,1,4,L,61.68,72.93,-11.25,0.68,4.1,0.74,2.23,1.42,6.33
Newcastle,Fulham,Away,68.3,10,0,0,605,19,10,4,1,W,72.93,61.68,11.25,4.1,0.68,2.23,0.74,6.33,1.42
Liverpool,Brighton,Home,53.8,9,1,0,530,15,7,3,3,D,89.02,76.31,12.71,2.95,2.15,2.29,1.03,5.24,3.18
Brighton,Liverpool,Away,46.2,13,1,0,460,6,6,3,3,D,76.31,89.02,-12.71,2.15,2.95,1.03,2.29,3.18,5.24
West Ham,Wolves,Home,39.1,8,2,0,372,18,5,2,0,W,71.11,67.2,3.91,0.93,0.65,0.68,1.32,1.61,1.97
Wolves,West Ham,Away,60.9,6,2,0,564,15,4,0,2,L,67.2,71.11,-3.91,0.65,0.93,1.32,0.68,1.97,1.61
Manchester City,Manchester United,Home,53.9,3,0,0,551,22,10,6,3,W,92.98,75.94,17.04,3.2,1.71,2.82,0.71,6.02,2.42
Manchester United,Manchester City,Away,46.1,9,3,0,476,12,8,3,6,L,75.94,92.98,-17.04,1.71,3.2,0.71,2.82,2.42,6.02
Leeds,Aston Villa,Home,43.8,23,3,1,375,6,1,0,0,D,64.72,70.97,-6.25,0.3,2.18,0.68,1.7,0.98,3.88
Aston Villa,Leeds,Away,56.2,12,2,0,479,19,7,0,0,D,70.97,64.72,6.25,2.18,0.3,1.7,0.68,3.88,0.98
Leicester,Nottingham,Home,51.6,13,2,0,492,17,7,4,0,W,67.13,54.25,12.88,1.25,1.47,1.09,0.98,2.34,2.45
Nottingham,Leicester,Away,48.4,12,4,0,464,10,3,0,4,L,54.25,67.13,-12.88,1.47,1.25,0.98,1.09,2.45,2.34
Bournemouth,Leicester,Home,44.2,8,1,0,424,10,4,2,1,W,54.89,67.58,-12.69,1.34,1.16,1.23,1.11,2.57,2.27
Leicester,Bournemouth,Away,55.8,16,2,0,551,9,5,1,2,L,67.58,54.89,12.69,1.16,1.34,1.11,1.23,2.27,2.57
Manchester City,Southampton,Home,65.2,4,0,0,744,21,8,4,0,W,93.14,63.19,29.95,2.54,0.13,2.25,0.1,4.79,0.23
Southampton,Manchester City,Away,34.8,8,1,0,393,5,0,0,4,L,63.19,93.14,-29.95,0.13,2.54,0.1,2.25,0.23,4.79
Newcastle,Brentford,Home,54.4,13,0,0,389,16,6,5,1,W,74.82,69.24,5.58,2,1.12,1.58,1.08,3.58,2.2
Brentford,Newcastle,Away,45.6,9,1,0,320,6,3,1,5,L,69.24,74.82,-5.58,1.12,2,1.08,1.58,2.2,3.58
Chelsea,Wolves,Home,57.4,8,2,0,591,20,7,3,0,W,82.45,67.1,15.35,2.31,0.81,2.09,1,4.4,1.81
Wolves,Chelsea,Away,42.6,8,0,0,431,8,2,0,3,L,67.1,82.45,-15.35,0.81,2.31,1,2.09,1.81,4.4
Brighton,Spurs,Home,58.9,9,1,0,694,14,4,0,1,L,76.83,81.04,-4.21,0.95,0.99,2.75,0.77,3.7,1.76
Spurs,Brighton,Away,41.1,14,2,0,489,8,3,1,0,W,81.04,76.83,4.21,0.99,0.95,0.77,2.75,1.76,3.7
Crystal Palace,Leeds,Home,54.5,13,3,0,418,13,5,2,1,W,69.63,63.69,5.94,1.67,1.08,1.06,1.55,2.73,2.63
Leeds,Crystal Palace,Away,45.5,23,3,0,345,10,4,1,2,L,63.69,69.63,-5.94,1.08,1.67,1.55,1.06,2.63,2.73
West Ham,Fulham,Home,50.3,9,1,0,485,17,8,3,1,W,72.18,59.05,13.13,3.36,0.57,1.26,0.71,4.62,1.28
Fulham,West Ham,Away,49.7,7,3,0,486,8,2,1,3,L,59.05,72.18,-13.13,0.57,3.36,0.71,1.26,1.28,4.62
Arsenal,Liverpool,Home,44,11,1,0,386,11,7,3,2,W,82.84,88.53,-5.69,2.67,0.76,1.71,0.83,4.38,1.59
Liverpool,Arsenal,Away,56,11,2,0,488,8,3,2,3,L,88.53,82.84,5.69,0.76,2.67,0.83,1.71,1.59,4.38
Everton,Manchester United,Home,39.7,7,2,0,375,11,2,1,2,L,64.51,76.09,-11.58,0.59,1.59,1.32,1.31,1.91,2.9
Manchester United,Everton,Away,60.3,13,1,0,609,12,4,2,1,W,76.09,64.51,11.58,1.59,0.59,1.31,1.32,2.9,1.91
Nottingham,Aston Villa,Home,39.9,13,3,0,333,6,3,1,1,D,53.76,72.32,-18.56,0.26,0.85,0.75,1.18,1.01,2.03
Aston Villa,Nottingham,Away,60.1,19,3,0,506,12,2,1,1,D,72.32,53.76,18.56,0.85,0.26,1.18,0.75,2.03,1.01
Brentford,Brighton,Home,27.5,12,3,0,235,7,3,2,0,W,68.08,77.17,-9.09,1.87,2.14,1.12,2.99,2.99,5.13
Brighton,Brentford,Away,72.5,15,1,0,611,21,7,0,2,L,77.17,68.08,9.09,2.14,1.87,2.99,1.12,5.13,2.99
Leicester,Crystal Palace,Home,53.1,18,2,0,579,14,5,0,0,D,66.66,69.49,-2.83,1,0.35,1.45,0.72,2.45,1.07
Crystal Palace,Leicester,Away,46.9,13,2,0,514,8,1,0,0,D,69.49,66.66,2.83,0.35,1,0.72,1.45,1.07,2.45
Fulham,Bournemouth,Home,68.9,9,2,0,585,19,4,2,2,D,57.95,55.78,2.17,1.89,1.56,1.77,0.83,3.66,2.39
Bournemouth,Fulham,Away,31.3,11,0,0,268,10,6,2,2,D,55.78,57.95,-2.17,1.56,1.89,0.83,1.77,2.39,3.66
Wolves,Nottingham,Home,58,17,2,0,435,9,2,1,0,W,66.42,53.85,12.57,1.21,1.32,0.98,1.02,2.19,2.34
Nottingham,Wolves,Away,42,13,2,0,313,10,2,0,1,L,53.85,66.42,-12.57,1.32,1.21,1.02,0.98,2.34,2.19
Spurs,Everton,Home,61.5,12,1,0,583,21,7,2,0,W,80.73,64.26,16.47,3.16,0.49,2.05,0.23,5.21,0.72
